backgroundImage,date,description,email,facebook,features,images,instagramLinks,location,name,pagelink,phone,price,time,website
https://southaustralia.com/-/media/Feature/Products/ATDW-Images/2018/10/07/23/00/5bb43c8844c5569d5032e8b3.jpeg?as=1&h=506&w=900&hash=8E6A8AA078F3684A06E651E50E7B29A1863793C9,02Nov2018-31May2019,"Friday @Five is back for another season,  every Friday from November 2. The place to be Friday nights!Start your weekend the right way, catch up with friends for a sundowner and stay late for cracking cocktails, great music and a party vibe. There is plenty of Gin (of course!), an extensive collection of artisan spirits, beer and local wines. We will be cranking out the flatbread pizza’s so you have all your Friday nights needs in one spot!Book a spot inside the bar and enjoy our unique atmosphere, surrounded by the warmth of old industrial copper and reclaimed timber, or enjoy the warmer weather and lawn games outside in the ‘botanical garden’ courtyard. What are you waiting for? See you Friday",hello@barossadistilling.com,https://www.facebook.com/BarossaGin/,"FeaturesEntity FacilityBarCarparkCoach ParkingFamily FriendlyPet Friendly - EnquirePublic ToiletAccess With Assistance for the DisabledSuitable for guests who depend on the use of a wheelchair in a seated position at all times.Suitable for guests with a hearing impairment, from mild hearing loss to profoundly deaf.",,https://www.instagram.com/barossagin,"18/28TanundaRoad,ProvenanceBarossa,Nuriootpa,Barossa,SouthAustralia,5355",Friday @ Five At The Distillery,https://southaustralia.com/products/barossa/event/friday--five-at-the-distillery,0498 999 934,,5:00PM-10:00PM,http://www.barossadistilling.com
https://southaustralia.com/-/media/Feature/Products/ATDW-Images/2019/01/23/22/13/5bfd30078bc559e425a7059c.jpeg?as=1&h=506&w=900&hash=848E885D2BCBA9CF028F9DF6E03E1DD25F771CCE,07Dec2018-25Jan2019,"Fine Art Kangaroo Island presents the culmination of more than a decade's art practice by artist Caroline Taylor in a fascinating solo exhibition of painting and hand-coloured historic photographs.The north coast of Kangaroo Island has been central to Caroline's  practice for many years with a considerable body of work produced on subjects such as settlement history, the landscape, fire,  men of the land, and where the land meets the sea.On show are paintings in the distinctive styles for which she has become known and new editions of the ground breaking work created over two years for Island to Inland touring exhibition.All works are powerfully linked by the observer’s love of the landscape, wild-life and history of Kangaroo Island.Two large hand-coloured  photographs are from original black & white photographs taken during a fortnight's expedition of Ornithologists to Snellings Beach in 1905 .The exhibition will run until 25 January 2019.Everyone is welcome to the launch, Friday 7 December at 5:15,to be opened by celebrated author and photographer Quentin Chester with a jazz performance from Island singer Priscilla Thomas.Meet the artist opportunities, and private viewings available in January. RSVP to Fine Art KI Gallery curator.",fineartki@bigpond.com,https://www.facebook.com/fineartkangarooisland,"FeaturesEntity FacilityCarparkPublic ToiletShopAccess With Assistance for the DisabledDisabled access available, contact operator for details",,https://www.instagram.com/fineartfleur,"91DaunceySt,Kingscote,KangarooIsland,SouthAustralia,5223",Observed:  Painted:  Captured,https://southaustralia.com/products/kangaroo-island/event/observed--painted--captured,(08) 8553 0448,,10:00AM-5:00PM,https://fineartkangarooisland.com.au/
https://southaustralia.com/-/media/Feature/Products/ATDW-Images/2019/01/23/22/09/5c0f35768395193b7ee18ac7.jpeg?as=1&h=506&w=900&hash=5C87DFC60BF660718C066E4A643E3A12B2358FB3,12Dec2018-31Jan2019,"Cherries are in season from November to January so head to the hills to pick your own cherries or purchase beautiful fresh cherries direct from the grower!Visit the Cherries SA website to download the cherry map for your guide to orchards to visit. Some growers offer picking, others shed door sales only but you’ll get all the information you need with this handy map. Alternatively the Fresh Cherries app (App Store or Google Play) can be your guide.Most orchards charge an entry fee, then you can pick to your heart’s delight and pay for the amount you have harvested based on weight - the price varies from season to season.Orchard opening times are subject to weather conditions and availability of fruit so it's worth ringing ahead or looking at the orchard's social media to check on availability before you visit.Every orchard offers a unique experience - some have a cafe, shop, picnic area or extra activities for children.Don't forget to wear sun protection and closed flat shoes if you plan on picking in the orchard.",admin@cherriessa.com.au,,"FeaturesAccess With Assistance for the DisabledDisabled access available, contact operator for detailsTourism OrganisationSA - Adelaide Hills Tourism",,https://www.facebook.com/cherrygrowerssa/,"Lobethal,AdelaideHills,SouthAustralia",Cherry Season In The Adelaide Hills,https://southaustralia.com/products/adelaide-hills/event/cherry-season-in-the-adelaide-hills,,,7:00AM-7:00PM,http://www.cherriessa.com.au/cherry-sales/
https://southaustralia.com/-/media/Feature/Products/ATDW-Images/2018/12/09/21/41/5bd654a2bb9a42e62ee947ee.jpeg?as=1&h=506&w=900&hash=7C680C8D96BB5D40238E1D2B103E202710B01EA3,25Nov2018-10Mar2019,"The GLENELG SUNSET MARKETS ~ the ultimate beachside market. Brought to you by Gilles at the Grounds.The Glenelg Sunset Markets will return bigger and better, with it's first market of the season coinciding with the Glenelg Christmas Pageant on November 25th. Our trading hours for this market will run all day from 10am-8pm.The rest of the season includes over 40+ amazing stalls, along with delicious local eats and live music on site.The Glenelg Sunset Markets bring local makers and creatives together all summer long on the foreshore of Glenelg beach.",hello@adminmarkets.com.au,https://www.facebook.com/GlenelgSunsetMarkets/,FeaturesEntity FacilityCafeCarparkFamily FriendlyPet Friendly - EnquirePublic ToiletRestaurantShop,,www.instagram.com/glenelgsunsetmarkets,"Glenelg,Adelaide,SouthAustralia,5045",Glenelg Sunset Markets,https://southaustralia.com/products/adelaide/event/glenelg-sunset-markets,0430 513 200,,10:00AM-8:00PM,
https://southaustralia.com/-/media/Feature/Products/ATDW-Images/2019/01/23/22/12/5becdcce1cdd4cfc3b80d465.jpeg?as=1&h=506&w=900&hash=F1A16D00CFE411F0803456086D12EDFE34F68D3C,13Dec2018-10Feb2019,"Exhibition Dates: Thursday December 13th 2018 - Sunday February 10th 2019Exhibition Launch: Saturday January 19th 2019 at 6pmThroughout history, the head has been the focus of enhancement in the form of hairstyles, hats, bonnets, cosmetics and jewellery - especially during the Renaissance when the inner essence of a sitter was intended to be revealed by the artist.Yet while artists such as Bronzino, Raphael and Donatello are exalted, the names of hatters, milliners, jewellers and hair stylists remain unheard.It could be argued that these unnamed artisans were the abstract sculptors of their day. Hence, LA TÊTE explores the idea of the head as the sculptor's mandrel.John Ashcroft (Senior) is a Melbourne artist, his works are full of colour and vibrancy which matches his passion for art.",contact@hahndorfacademy.org.au,https://www.facebook.com/HahndorfAcademy/,FeaturesEntity FacilityFamily FriendlyPublic ToiletShopInternet Access PointFree Wifi,,https://www.instagram.com/hahndorfacademy/,"68MountBarkerRoad,Hahndorf,AdelaideHills,SouthAustralia,5245",John Ashcroft La Tête Exhibition Of Painitngs,https://southaustralia.com/products/adelaide-hills/event/john-ashcroft-la-tte-exhibition-of-painitngs,,,10:00AM-5:00PM,http://hahndorfacademy.org.au/exhibitions-1/
https://southaustralia.com/-/media/Feature/Products/ATDW-Images/2019/01/23/22/09/5becd7f7437febb2361368f7.jpeg?as=1&h=506&w=900&hash=76BB134A0DF5098B5B728E6B683B312E1B8053CD,14Dec2018-10Feb2019,"Dreaming Stories is a group exhibition with some incredible paintings, ceramics and weaving by Aboriginal artists from across Australia, bringing together a celebration of art and culture from remote art centres to local suburban artists.This exhibition is curated by Helen Johnson who's passion is for the Central Desert Art Movement, she enjoyed 7 years as Art Centre Manager for Iwantja Arts, APY Lands, South Australia and she now runs the Kiri Kiri Gallery in Victor Harbor. Helen sources directly from remote art centres all around Australia, particularly within a 500k radius of Alice Springs.This exhibition includes some of the most prestigious established and emerging Aboriginal artists in Australia. December 14th 2018 - February 10th 2019",contact@hahndorfacademy.org.au,https://www.facebook.com/HahndorfAcademy/,FeaturesEntity FacilityFamily FriendlyPublic ToiletShopInternet Access PointFree Wifi,,https://www.instagram.com/hahndorfacademy/,"68MountBarkerRoad,Hahndorf,AdelaideHills,SouthAustralia,5245",Dreaming Stories Exhibition With Artworks By Aboriginal Artists,https://southaustralia.com/products/adelaide-hills/event/dreaming-stories-exhibition-with-artworks-by-aboriginal-artists,,,10:00AM-5:00PM,http://hahndorfacademy.org.au/exhibitions-1/
https://southaustralia.com/-/media/Feature/Products/ATDW-Images/2019/01/23/22/12/59e93faef1f534030f014373.jpeg?as=1&h=506&w=900&hash=482719787256A7A3640BC33787CE08C537C96534,14Dec2018-27Jan2019,"Islands are by nature hermetic and that seclusion, coupled with majestic natural surroundings can be a powerful muse to the creative soul.Thus the symmetry of Kangaroo Island: 4500 square kilometres, half of it natural ecosystems and, 4500 residents, half seemingly artists in some form.Ten of the island’s visual artists are bringing ‘mainlanders’ a glimpse of the isolation and inspiration of island life in Island to Inland: contemporary art from Kangaroo Island, which will open at Flinders University City Gallery during SALA Festival 2017 and then be toured by Country Arts SA.The artists are creating new works on the theme of ‘isolation and inspiration’ for the exhibition, curated by Eleanor Scicchitano, Visual Arts Coordinator, Country Arts South Australia and Celia Dottore, Exhibitions Manager, Flinders University Art Museum and City Gallery University.Riddoch Gallery - Mt Gambier - 14 Dec 2018 - 27 Jan 2019.",,,Features,,,"BayRoad,MountGambier,LimestoneCoast,SouthAustralia,5290",Island To Inland - Riddoch Art Gallery - Mt Gambier,https://southaustralia.com/products/limestone-coast/event/island-to-inland---riddoch-art-gallery---mt-gambier,(08) 8723 9566,,12:00AM-12:00AM,https://www.countryarts.org.au/events/island-to-inland/
https://southaustralia.com/-/media/Feature/Products/ATDW-Images/2019/01/23/22/09/5bece444437febb23613693c.jpeg?as=1&h=506&w=900&hash=D352E3A632E5750298F80A51D803B89B559389D7,17Jan2019-17Mar2019,"Deborah Twining When tales are long and often turn cornersExhibition Dates Wednesday January 17th to Sunday March 17th.Exhibition opening Saturday February 16th at 4pmHistory is a complex recollection of events, where forgetting can be as important as remembering. Somewhere embodied in the stories that people tell is the life and achievements of Nurse Bertha Emilie Schmidtke.This year marks the 100yr anniversary of this remarkable woman, whom against all odds established the Ambleside Maternity Hospital in what is now the Hahndorf Academy, South Australia.Artist Deborah Twining attempts to unravel the truths that wrapped up her world. In the process give some narrative to Nurse Schmidtke’s valuable but largely unrecognised achievements.",contact@hahndorfacademy.org.au,https://www.facebook.com/HahndorfAcademy/,FeaturesEntity FacilityFamily FriendlyPublic ToiletShopInternet Access PointFree Wifi,,https://www.instagram.com/hahndorfacademy/,"68MountBarkerRoad,Hahndorf,AdelaideHills,SouthAustralia,5245",Deborah Twining Exhibition That Looks At History And Stories,https://southaustralia.com/products/adelaide-hills/event/deborah-twining-exhibition-that-looks-at-history-and-stories,(08) 8388 7250,,10:00AM-5:00PM,http://hahndorfacademy.org.au/exhibitions-1/
https://southaustralia.com/-/media/Feature/Products/ATDW-Images/2019/01/23/22/16/5be3c57f0a7467da2563cdd8.jpeg?as=1&h=506&w=900&hash=A995C5900F4BEA33BAE789BB2B6633E0844DC135,03Dec2018-01Feb2019,"Skulls, shark eggs and sea creatures are some of the treasures you’ll uncover when you visit the Pop Up Marine Discovery Display at the Streaky Bay Visitor Centre this summer.Natural Resources EP spokesperson Libby Hunt is excited to showcase the local area’s marine and coastal wildlife.Natural Resources EP Marine Parks Regional Coordinator Dr. Shelley Paull said the display is a great opportunity for participants to gain a deeper understanding of unique marine species and their habitats.A microscope and eye clops enables participants to develop scientific skills and have a close-up encounter with sand, coral and salt loving plants.The display is a unique tool for local educators to take learning out of the classroom. It also presents students with a sensory learning experience involving the use of magnifying glasses, sand fossicking and plant and animal identification guides.The pop-up centre is free and is a collaboration between Natural Resources Eyre Peninsula and the Streaky Bay Visitor Centre.",info@streakybay.sa.gov,https://www.facebook.com/streakybayvisitorcentre/?modal=admin_todo_tour,"FeaturesEntity FacilityCarparkFamily FriendlyNon SmokingPublic ToiletAccess With Assistance for the DisabledSuitable for guests with sufficient mobility to climb two or three steps, but would benefit from fixtures and fittings to aid balance.Suitable for guests who depend on the use of a wheelchair in a seated position at all times.",,https://instagram.com/streakybay/,"21BayRoad,StreakyBay,EyrePeninsula,SouthAustralia,5680",Streaky Bay To Discover The Secrets Of The Sea,https://southaustralia.com/products/eyre-peninsula/event/streaky-bay-to-discover-the-secrets-of-the-sea,(08) 8626 7033,,9:00AM-5:00PM,http://www.streakybay.com.au
https://southaustralia.com/-/media/Feature/Products/ATDW-Images/2019/01/22/22/45/5c3ea89df61a713f23e01d97.jpeg?as=1&h=506&w=900&hash=D0BBB1155950098CEDEFD044CD6C1566E32F9D3B,22Jan2019-02Dec2019,"The world of wine and wine tasting doesn’t have to be intimidating. The National Wine Education & Training Centre's Wine Essentials class is ideal for those new to wine, and for those who would like to gain confidence in tackling wine shop selections and restaurant wine lists.The session will begin with the class learning how to sensorially evaluate wine with exercises designed to fine-tune your palate and nose and a lesson in wine vocabulary. We’ll introduce you to Australian wine regions and styles, winemaking fundamentals and viticultural practices.  You will enjoy a number of popular styles of wines from different South Australian regions and have fun learning about and discussing wine in a relaxed environment.This class is also perfect for groups, whether it be for corporate team building or a celebration, and can be held privately for 15 people or more.",admin@winesa.asn.ai,https://www.facebook.com/nationalwineeducation/,FeaturesEntity FacilityBarCafeCarparkPublic ToiletAccess With Assistance for the DisabledSuitable for guests who depend on the use of a wheelchair in a seated position at all times.Internet Access PointFree Wifi,,https://www.instagram.com/nwetc/,"BotanicRoad,NationalWineCentre,Adelaide,Adelaide,SouthAustralia,5000",National Wine Education & Training Centre Wine Essentials Course,https://southaustralia.com/products/adelaide/event/national-wine-education--training-centre-wine-essentials-course,(08) 8222 9277,From$79to$79Discountsforgroupbookings(10%offforgroupsof5bookedinthesameclass)DiscountsforSouthAustralianWineIndustryAssociationMembersandtheirstaff,6:30PM-9:30PM,http://nwetc.com.au/portfolio/wine-essentials/
